"","SZAXPI003409.8","SZAXPI003410.3","SZAXPI003411.6","SZAXPI003412.1","SZAXPI003413.4","SZAXPI003414.3","SZAXPI003415.12","SZAXPI003416.4","SZAXPI003417.4","SZAXPI003418.8","SZAXPI003419.6","SZAXPI003420.4","SZAXPI003421.5","SZAXPI003422.11","SZAXPI003423.8","SZAXPI003424.12","SZAXPI003425.1","SZAXPI003426.11","SZAXPI003427.1","SZAXPI003428.6","SZAXPI003429.3","SZAXPI003430.5","SZAXPI003431.1","SZAXPI003432.12","SZAXPI003433.7","SZAXPI003434.7","SZAXPI003435.11","SZAXPI003436.7","SZAXPI003437.3","SZAXPI015209.133","SZAXPI015210.17","SZAXPI015211.166","SZAXPI015212.113","SZAXPI015213.15","SZAXPI015214.19","SZAXPI015215.20","SZAXPI015216.169","SZAXPI015217.140","SZAXPI015218.16","SZAXPI015219.129","SZAXPI015220.136","SZAXPI015221.142","SZAXPI015222.123","SZAXPI015223.158","SZAXPI015224.13","SZAXPI015225.18","SZAXPI015226.14","SZAXPI015227.13","SZAXPI015228.14","SZAXPI015229.15","SZAXPI015230.16","SZAXPI015231.17","SZAXPI015232.18","SZAXPI015233.19","SZAXPI015234.20","SZAXPI015235.21","SZAXPI015237.23","SZAXPI015238.24","SZAXPI015239.25","SZAXPI015240.26","SZAXPI015241.27","SZAXPI015242.30","SZAXPI015243.31","SZAXPI015244.32","SZAXPI015245.33","SZAXPI015246.34","SZAXPI015247.35","SZAXPI015248.36","SZAXPI015249.37","SZAXPI015250.39","SZAXPI015251.41","SZAXPI015252.43","SZAXPI015253.44","SZAXPI015254.45","SZAXPI015255.46","SZAXPI015256.47","SZAXPI015257.56","SZAXPI015258.57","SZAXPI015259.62","SZAXPI015260.74","SZAXPI015261.75","SZAXPI015262.79","SZAXPI015263.84","SZAXPI015264.87","SZAXPI015265.88","SZAXPI015266.89","SZAXPI015267.102","SZAXPI015268.109","SZAXPI015269.94","SZAXPI015270.90","SZAXPI015271.93","SZAXPI015272.108","SZAXPI015273.95","SZAXPI015274.111","SZAXPI017451.16","SZAXPI017452.17","SZAXPI017453.19","SZAXPI017454.20","SZAXPI017455.21","SZAXPI017456.23","SZAXPI017457.24","SZAXPI017458.25","SZAXPI017459.26","SZAXPI017460.27","SZAXPI017461.32","SZAXPI017462.33","SZAXPI017463.36","SZAXPI017464.37","SZAXPI017465.43","SZAXPI017466.84","SZAXPI017467.87","SZAXPI017468.88","SZAXPI017580.90","SZAXPI017581.93","SZAXPI017582.94","SZAXPI017583.102","SZAXPI017584.108","SZAXPI017585.109","SZAXPI017586.111","SZAXPI017587.113","SZAXPI017588.123","SZAXPI017589.133","SZAXPI017590.136","SZAXPI017591.140","SZAXPI017592.142","SZAXPI017593.158","SZAXPI017594.166","SZAXPI017595.169"
"Cardiobacteriaceae",0.00058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bruguierivoracaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00844,0,0,0,0
"Enterobacteriaceae",20.83737,6.12133,0.33701,0.84425,0.56007,2.2501,9.66974,0.57114,37.01382,34.442,0.01691,1.04354,3.40212,10.91881,0.5205,0.1476,10.00609,39.56114,1.0256,2.74748,0.57618,0.27432,1.45971,80.44316,0.99855,1.5322,0.80296,1.08074,6.51148,0.15831,1.25771,0.93135,2.08296,5.44904,3.64007,1.20709,0.05452,0.23416,1.32454,3.52229,0.01565,0.05165,0.59147,0.00912,0.7005,2.39489,1.65308,3.82848,0.15561,96.5664,0.02852,1.66741,9.58869,1.83455,5.54525,1.96406,1.7569,36.07376,0.24679,0.87571,5.15934,1.42968,46.59996,5.84551,0.46672,1.32651,8.10726,0.8792,0.69597,0.31035,3.45693,0.2349,3.33572,0.43626,8.49151,0.07417,0.58891,0.27572,1.38956,43.61249,0.6369,0.00674,0.25955,0,0.057,0.0041,73.33876,1.0889,0.46508,0.00167,0.1578,0.00419,0.14202,9.01938,29.32085,0.14774,8.53054,22.09939,0.10957,14.18598,0.08199,1.34313,0.00303,0,0.9404,0.67138,0.0597,0.03143,0.3454,0.16477,0.1327,3.10723,0,2.97275,0.94303,0.08031,0.93183,8.73318,0.35452,7.5215,8.9003,0.18687,38.71746,0.06352,3.2588,0.28923,0.08633,41.49881
"Erwiniaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hafniaceae",0,0,0,0,0,0,0,0,0,0,0,0.01282,0,0.0939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07235,0,0,0,0,0,0,0,0,0.1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morganellaceae",0.30235,0,0,0,0,0,0,0,0,0,0,0,0.00637,0,0,0,0,0,0,0.08869,0,0,0,0,0,0.00819,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01424,0,0,0,0,0,0,0,0,0,0,0,0,0.00775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73753
"Yersiniaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasteurellaceae",0,0.2498,0.00123,0,0.01239,0,0,0.02517,0,0.74987,0.00064,0.00908,0,0.02933,0.04463,0.0877,0.00099,0,0,0,0.04128,0.02367,0,0,0.09039,0.00165,0.00833,0.00423,0,0,0,0.00212,0.61895,0.02848,0.02061,0,0,0,0,0,0.01554,0.06749,0.00112,0,0.09967,0.00109,0.67505,0,0.01389,0,0.00789,0.12872,0.00414,0,0,0.7185,0.00486,0.00066,0.00559,0.01109,0.06038,0.00089,0.0042,0,0.55687,0.42184,0.31087,0.00311,0,0.00269,0.01095,0.47561,0,0.16958,0.27852,0,0.0154,0.57475,0.86616,0.46337,0.07217,0,0,0,0.01052,0.18394,0,0.07792,0.00562,0.0389,0,0,1.19617,0.04276,0,0.06185,0.00273,0.07126,0.0393,0.1804,0.03443,0.55672,0.00133,0,0.12415,0.04773,0,0,0.00084,0,0.15757,0,0,0,0.00802,0.09165,0.03275,0,0.31285,0.0032,0.47488,0.00385,0,0.00447,0,0.00362,0,0
"Pseudomonadaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Treponemataceae",0,0,0,0,0.00112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Synergistaceae",0.01365,0.00121,0,0,0.05141,0,0,0,0.00304,0,0,0.01374,0,0.00478,0,0,0,0.05633,0.0168,0,0,0,0,0.00057,0.2715,0,0.21532,0.27642,0,0,0,0.03188,0,0,0,0.00348,1.0845,0.34477,0.38871,0.05681,0.00629,0,0.02071,0.01232,0.00512,0,0.01927,0,0,0,0,0,0,0,0,0.00093,0.00167,0,0,0.00438,0.00409,0,9e-04,0.00238,0,0.00679,0,0,0,0.09903,0.00096,0.00075,0,0.01946,0.00093,0.0041,0.00923,0.00043,0,0.03021,0.01291,0,0.0039,0.05737,0,0,0,0,0.06376,0,0.00963,0,0,0,0,0,0.53098,0,0,0,0.37424,0,0,0,0.01756,0,0.00642,0.02197,0.06833,0.10072,0,0,0.02088,0.29935,0,0,1.3977,0,0,0,0,0,0.02184,0,0,0.01624,0.00057,0.17965
"Unknown",2.898,4.19071,0.96515,3.92928,3.94645,2.78027,0.05717,0.33092,0.44247,1.48117,2.30532,0.84584,0.69419,1.19755,0.06067,0.56369,2.28468,0.35912,0.01519,0.00278,1.05413,0.14679,0.13488,0.46766,0.28377,0.09061,6.23294,7.58403,0.03601,0.10179,0.62452,2.48964,0.73786,1.52592,0.21548,0.28185,6.7675,0.61876,3.15002,0.02105,1.096,1.00143,0.07017,0.83408,0.47444,2.12387,1.20711,1.30997,0.0187,0.00608,1.70543,0.36659,0.00183,1.09689,2.91467,0.30456,1.55657,0.1628,0.0409,2.4803,1.47272,0.34832,2.60594,1.38942,0.3202,0.05943,2.60635,0.52664,1.40887,3.04569,0.75757,0.58316,3.84151,2.84956,0.48975,0.04097,5.3815,0.71668,0.72918,0.13101,0.16563,0.95188,1.05091,4.39597,3.04774,0.39254,0.29883,1.58895,3.20069,0.41637,6.70719,0.23137,0.23608,0.22024,0.00394,0.17628,3.24825,1.35458,0.00465,1.75687,0.61007,0.59762,0.00171,2.05695,0.39121,4.63459,5.90767,0.72204,4.15608,3.83157,0.94907,0.40863,0.17024,0.56505,1.71241,0.23683,2.51975,0.58996,5.36125,0.01615,0.8885,0.03941,0.84284,0.81876,6.13199,1.99357,1.16212,0.07595
"Akkermansiaceae",25.51215,10.95862,0.01264,4.83142,11.62145,0.00418,0.00211,0.00181,0.00617,0.33465,0.00123,0.0155,0.02354,0.00677,0.00993,12.81751,0.08789,0.06117,4.14194,72.0143,0.00373,0.15604,0.00038,0.00513,0.00037,0.45011,0.75381,0.45155,0.10861,0,0,0.00444,0,0,0,0.00553,6.48586,25.20702,0.26393,0,0,0.05885,0,0,0.02756,11.29907,1.9207,0.47713,0,0,0.02642,2.73754,0,0,4.70809,0,0,0,0,0.38938,0,0,0.01184,0,0.07532,0.00275,0.64126,0,0,0.21172,1.73223,0.0244,0,0,0.49902,0.22326,0,0.24189,0,0,0.28022,0,2.04924,0,0,0,0.03147,0,0.61764,0.08313,0.0251,0,0,0,0,0,9.96896,0.00515,0,0,0,0,0,0,7.08438,0,0,0,28.94276,2.08047,0.00153,0,0.02727,19.32638,0,0.00182,0.0063,2.58959,0,0.24423,0,0,0.02509,0.12942,1.67161,0,0,0.03676
